scale,test,run,function,result
1.5,1,1,DF_CS,6.67572021484375e-05
1.5,1,1,DF_I,4.8160552978515625e-05
1.5,1,1,DF_SS,4.696846008300781e-05
1.5,1,1,DF_WS,3.4809112548828125e-05
1.5,1,1,LF_CR,0.13213825225830078
1.5,1,1,LF_CS,0.24323368072509766
1.5,1,1,LF_I,1.6883118152618408
1.5,1,1,LF_SR,0.1142892837524414
1.5,1,1,LF_SS,0.26103782653808594
1.5,1,1,LF_WR,0.10355663299560547
1.5,1,1,LF_WS,0.27723073959350586
1.5,1,2,DF_CS,5.340576171875e-05
1.5,1,2,DF_I,2.9802322387695312e-05
1.5,1,2,DF_SS,3.743171691894531e-05
1.5,1,2,DF_WS,4.8160552978515625e-05
1.5,1,2,LF_CR,0.09155631065368652
1.5,1,2,LF_CS,0.15288782119750977
1.5,1,2,LF_I,1.121732473373413
1.5,1,2,LF_SR,0.14002299308776855
1.5,1,2,LF_SS,0.3397345542907715
1.5,1,2,LF_WR,0.08185386657714844
1.5,1,2,LF_WS,0.11721539497375488
