scale,test,run,function,result
3,2,1,DF_CS,4.291534423828125e-05
3,2,1,DF_I,1.4066696166992188e-05
3,2,1,DF_SS,6.747245788574219e-05
3,2,1,DF_WS,5.984306335449219e-05
3,2,1,LF_CR,0.1185903549194336
3,2,1,LF_CS,0.23015451431274414
3,2,1,LF_I,2.025341033935547
3,2,1,LF_SR,0.19386029243469238
3,2,1,LF_SS,0.350111722946167
3,2,1,LF_WR,0.09616446495056152
3,2,1,LF_WS,0.24344706535339355
3,2,2,DF_CS,4.673004150390625e-05
3,2,2,DF_I,2.5272369384765625e-05
3,2,2,DF_SS,4.172325134277344e-05
3,2,2,DF_WS,3.8623809814453125e-05
3,2,2,LF_CR,0.0897066593170166
3,2,2,LF_CS,0.12150263786315918
3,2,2,LF_I,1.8112876415252686
3,2,2,LF_SR,0.08615541458129883
3,2,2,LF_SS,0.13782572746276855
3,2,2,LF_WR,0.09470033645629883
3,2,2,LF_WS,0.11278104782104492
